sum_iterative_nif (Run Time Measurements),sum_iterative_nif (Memory Usage Measurements),sum_recursive2 (Run Time Measurements),sum_recursive2 (Memory Usage Measurements),sum_port (Run Time Measurements),sum_port (Memory Usage Measurements),sum_recursive (Run Time Measurements),sum_recursive (Memory Usage Measurements),sum_iterative (Run Time Measurements),sum_iterative (Memory Usage Measurements)
2846642,16,4458221,0,9181199,,12239870,,,
2838145,16,4358704,0,4530507,,12796316,,,
2829239,16,4376897,0,9312326,,8071814,,,
2833336,16,4389572,0,4026159,,8406974,,,
2839568,16,4364594,0,9333496,,8781117,,,
2853595,16,4359285,,10959643,,10410350,,,
3089157,16,4354085,,4943073,,8047028,,,
4181580,16,4356269,,5314792,,8250840,,,
3823207,16,4347743,,4011812,,8070912,,,
2911373,16,4348515,,4239440,,8735100,,,
2849748,16,4359746,,4279936,,9271109,,,
2829128,16,4355047,,4384953,,11718850,,,
2832685,16,4341291,,4365606,,10729610,,,
2837865,16,4362821,,4285025,,8915780,,,
2840329,16,4343896,,4349186,,10719902,,,
2838847,16,4346972,,4670200,,8256211,,,
2837675,16,4356880,,4429627,,9223860,,,
2837254,16,4349957,,4414919,,10600187,,,
2832304,16,4347743,,3741825,,8782420,,,
2842985,16,4348204,,4142988,,9736033,,,
2846081,16,4344898,,5355418,,12179656,,,
2848725,16,4349046,,4371117,,13132527,,,
2833125,16,4351040,,4689125,,8414008,,,
2842483,16,4349156,,4603453,,8845779,,,
2843646,16,4347182,,4493297,,10640974,,,
2825883,16,4358483,,4717218,,8046557,,,
2832625,16,4356980,,9574338,,9147345,,,
2834949,16,4349296,,10296427,,12546135,,,
2832304,16,4346912,,4864024,,,,,
2837254,16,4366308,,8490300,,,,,
2833857,16,4431280,,7890173,,,,,
2838897,16,4429597,,7858022,,,,,
2830682,16,4422484,,11108092,,,,,
2839408,16,4440708,,7961326,,,,,
2840570,16,4409690,,10688924,,,,,
2831973,16,4378271,,7667825,,,,,
2835230,16,4347633,,6570181,,,,,
2842393,16,4359976,,8759417,,,,,
2839337,16,4340339,,10073357,,,,,
2825952,16,4416372,,9841701,,,,,
2841331,16,4354345,,10392206,,,,,
2836342,16,4348325,,10388039,,,,,
